"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 18 02:26:27 GMT 2023","Tue Apr 18 02:26:28 GMT 2023","1000","webkit","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 02:26:31 GMT 2023","Tue Apr 18 02:26:32 GMT 2023","1010","webkit","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:26:07 GMT 2023","Tue Apr 18 02:26:07 GMT 2023","552","chromium","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 02:26:13 GMT 2023","Tue Apr 18 02:26:14 GMT 2023","1120","firefox","example2.spec.js","","","","get started link 02",""
"failed","Tue Apr 18 02:26:22 GMT 2023","Tue Apr 18 02:26:23 GMT 2023","1008","webkit","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 02:26:18 GMT 2023","Tue Apr 18 02:26:19 GMT 2023","976","webkit","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:26:11 GMT 2023","Tue Apr 18 02:26:12 GMT 2023","1389","firefox","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:26:12 GMT 2023","Tue Apr 18 02:26:13 GMT 2023","809","firefox","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 02:26:06 GMT 2023","Tue Apr 18 02:26:06 GMT 2023","652","chromium","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 02:26:05 GMT 2023","Tue Apr 18 02:26:06 GMT 2023","911","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 18 02:26:06 GMT 2023","Tue Apr 18 02:26:07 GMT 2023","422","chromium","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 02:26:08 GMT 2023","Tue Apr 18 02:26:11 GMT 2023","2868","firefox","example.spec.js","","","","has title",""
